"filename", "language", "JSON", "TypeScript", "XML", "CSS", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\models\client.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\models\models.js", "JavaScript", 0, 0, 0, 0, 30, 0, 0, 7, 37
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\models\project.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\others\templates\report.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, -2, 17
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\package-lock.json", "JSON", 5722, 0, 0, 0, 0, 0, 0, 0, 5722
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\package.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 0, 26
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\routes\client.ts", "TypeScript", 0, 81, 0, 0, 0, 0, 0, 8, 89
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\routes\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\routes\reports.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\routes\tasks.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\routes\users.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, -1, 0
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\services\client\client.service.ts", "TypeScript", 0, 79, 0, 0, 0, 0, 0, 19, 98
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\services\internal\scheduler.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 4, 3, 38
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\services\project\project.service.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 1, 4, 33
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\services\report\report.service.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 1, 2, 27
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\services\task\task.service.ts", "TypeScript", 0, -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\services\timer\timer.service.ts", "TypeScript", 0, -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\services\user\user.service.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\types\filters.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\utils\projects.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\utils\timer\index.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 1, 3, 24
"Total", "-", 5819, 740, 1803, 204, 262, 15708, 49, 1124, 25709
